email,name,surname
amelia.meyer@clientdemo.com,Amelia,Meyer
liam.naidoo@clientdemo.com,Liam,Naidoo
olivia.jacobs@clientdemo.com,Olivia,Jacobs
noah.vanwyk@clientdemo.com,Noah,van Wyk
ava.pretorius@clientdemo.com,Ava,Pretorius
ethan.botha@clientdemo.com,Ethan,Botha
mia.snyman@clientdemo.com,Mia,Snyman
lucas.koen@clientdemo.com,Lucas,Koen
sophia.debeer@clientdemo.com,Sophia,de Beer
oliver.steyn@clientdemo.com,Oliver,Steyn
ella.kruger@clientdemo.com,Ella,Kruger
james.mthembu@clientdemo.com,James,Mthembu
isabella.nel@clientdemo.com,Isabella,Nel
benjamin.rossouw@clientdemo.com,Benjamin,Rossouw
charlotte.maree@clientdemo.com,Charlotte,Maree
elijah.duplessis@clientdemo.com,Elijah,du Plessis
amelie.smit@clientdemo.com,Amelie,Smit
jacob.vandermerwe@clientdemo.com,Jacob,van der Merwe
harper.geldenhuys@clientdemo.com,Harper,Geldenhuys
logan.deklerk@clientdemo.com,Logan,de Klerk
luna.jordaan@clientdemo.com,Luna,Jordaan
mason.moodley@clientdemo.com,Mason,Moodley
ella.coetzee@clientdemo.com,Ella,Coetzee
henry.molefe@clientdemo.com,Henry,Molefe
sophia.maseko@clientdemo.com,Sophia,Maseko
jack.viljoen@clientdemo.com,Jack,Viljoen
chloe.mthombeni@clientdemo.com,Chloe,Mthombeni
leo.molekwa@clientdemo.com,Leo,Molekwa
grace.sibanda@clientdemo.com,Grace,Sibanda
michael.khumalo@clientdemo.com,Michael,Khumalo
lily.ngcobo@clientdemo.com,Lily,Ngcobo
samuel.dlamini@clientdemo.com,Samuel,Dlamini
ella.makgoba@clientdemo.com,Ella,Makgoba
daniel.lefebvre@clientdemo.com,Daniel,Lefebvre
ruby.moroka@clientdemo.com,Ruby,Moroka
alexander.phiri@clientdemo.com,Alexander,Phiri
zoe.mashaba@clientdemo.com,Zoe,Mashaba
william.kekana@clientdemo.com,William,Kekana
lucy.mathebula@clientdemo.com,Lucy,Mathebula
theo.sithole@clientdemo.com,Theo,Sithole
nora.mofokeng@clientdemo.com,Nora,Mofokeng
matthew.mohlala@clientdemo.com,Matthew,Mohlala
violet.sello@clientdemo.com,Violet,Sello
jackson.mogale@clientdemo.com,Jackson,Mogale
hannah.ramaphosa@clientdemo.com,Hannah,Ramaphosa
isaac.motsoaledi@clientdemo.com,Isaac,Motsoaledi
scarlett.molefe@clientdemo.com,Scarlett,Molefe
logan.madikizela@clientdemo.com,Logan,Madikizela
claire.masilela@clientdemo.com,Claire,Masalela
sebastian.mthethwa@clientdemo.com,Sebastian,Mthethwa
